id,original_text,appeal_text,lemmatized,category,is_escalated,sentiment,urgency
1,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
2,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
3,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
4,Это недопустимо! Требую реакции руководства по вопросу общежитие и проживание.,Это недопустимо! Требую реакции руководства по вопросу общежитие и проживание.,это недопустимый требовать реакция руководство по вопрос общежитие и проживание,Общежитие и проживание,True,negative,high
5,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
6,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
7,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
8,Это недопустимо! Требую реакции руководства по вопросу поступление и приёмная комиссия.,Это недопустимо! Требую реакции руководства по вопросу поступление и приёмная комиссия.,это недопустимый требовать реакция руководство по вопрос поступление и приемный комиссия,Поступление и приёмная комиссия,True,negative,high
9,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
10,Уже третий раз не могу решить вопрос по поступление и приёмная комиссия. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по поступление и приёмная комиссия. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по поступление и приемный комиссия просить разобраться на высокий уровень,Поступление и приёмная комиссия,True,negative,high
