id,appeal_text,original_text,category,sentiment,urgency,is_escalated,lemmatized
1,Здравствуйте. У меня общежитие. Проблема.,Здравствуйте. У меня общежитие. Проблема.,Общежитие,neutral,high,False,здравствовать у я общежитие проблема
2,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Преподаватели,negative,high,True,здравствовать у я преподаватель проблема это очень срочно и неудобный
3,Здравствуйте. У меня другое. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня другое. Проблема. Это очень срочно и неудобно!,Другое,negative,high,False,здравствовать у я другой проблема это очень срочно и неудобный
4,Здравствуйте. У меня преподаватели. Проблема.,Здравствуйте. У меня преподаватели. Проблема.,Преподаватели,positive,low,True,здравствовать у я преподаватель проблема
5,Здравствуйте. У меня другое. Проблема.,Здравствуйте. У меня другое. Проблема.,Другое,positive,medium,False,здравствовать у я другой проблема
6,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Преподаватели,negative,high,False,здравствовать у я преподаватель проблема это очень срочно и неудобный
7,Здравствуйте. У меня оплата и финансы. Когда вернут переплату. Это очень срочно и неудобно!,Здравствуйте. У меня оплата и финансы. Когда вернут переплату. Это очень срочно и неудобно!,Оплата и финансы,negative,low,True,здравствовать у я оплата и финансы когда вернуть переплата это очень срочно и неудобный
8,Здравствуйте. У меня общежитие. Проблема.,Здравствуйте. У меня общежитие. Проблема.,Общежитие,neutral,medium,False,здравствовать у я общежитие проблема
9,Здравствуйте. У меня расписание. Когда будет экзамен по .... Это очень срочно и неудобно!,Здравствуйте. У меня расписание. Когда будет экзамен по .... Это очень срочно и неудобно!,Расписание,negative,medium,True,здравствовать у я расписание когда быть экзамен по .... это очень срочно и неудобный
10,Здравствуйте. У меня оплата и финансы. Не прошла оплата за обучение.,Здравствуйте. У меня оплата и финансы. Не прошла оплата за обучение.,Оплата и финансы,positive,low,False,здравствовать у я оплата и финансы не пройти оплата за обучение
11,Здравствуйте. У меня оплата и финансы. Как оплатить общежитие. Это очень срочно и неудобно!,Здравствуйте. У меня оплата и финансы. Как оплатить общежитие. Это очень срочно и неудобно!,Оплата и финансы,negative,medium,False,здравствовать у я оплата и финансы как оплатить общежитие это очень срочно и неудобный
12,Здравствуйте. У меня технические проблемы. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня технические проблемы. Проблема. Это очень срочно и неудобно!,Технические проблемы,negative,high,False,здравствовать у я технический проблема проблема это очень срочно и неудобный
13,Здравствуйте. У меня технические проблемы. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня технические проблемы. Проблема. Это очень срочно и неудобно!,Технические проблемы,negative,medium,False,здравствовать у я технический проблема проблема это очень срочно и неудобный
14,Здравствуйте. У меня поступление. Проблема.,Здравствуйте. У меня поступление. Проблема.,Поступление,neutral,high,False,здравствовать у я поступление проблема
15,Здравствуйте. У меня оплата и финансы. Как оплатить общежитие. Это очень срочно и неудобно!,Здравствуйте. У меня оплата и финансы. Как оплатить общежитие. Это очень срочно и неудобно!,Оплата и финансы,negative,medium,False,здравствовать у я оплата и финансы как оплатить общежитие это очень срочно и неудобный
16,Здравствуйте. У меня другое. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня другое. Проблема. Это очень срочно и неудобно!,Другое,negative,medium,False,здравствовать у я другой проблема это очень срочно и неудобный
17,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Поступление,negative,medium,False,здравствовать у я поступление проблема это очень срочно и неудобный
18,Здравствуйте. У меня преподаватели. Проблема.,Здравствуйте. У меня преподаватели. Проблема.,Преподаватели,neutral,low,False,здравствовать у я преподаватель проблема
19,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Преподаватели,negative,low,True,здравствовать у я преподаватель проблема это очень срочно и неудобный
20,Здравствуйте. У меня общежитие. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня общежитие. Проблема. Это очень срочно и неудобно!,Общежитие,negative,medium,False,здравствовать у я общежитие проблема это очень срочно и неудобный
21,Здравствуйте. У меня общежитие. Проблема.,Здравствуйте. У меня общежитие. Проблема.,Общежитие,neutral,medium,False,здравствовать у я общежитие проблема
22,Здравствуйте. У меня расписание. Когда будет экзамен по ....,Здравствуйте. У меня расписание. Когда будет экзамен по ....,Расписание,neutral,low,False,здравствовать у я расписание когда быть экзамен по ....
23,Здравствуйте. У меня расписание. Когда будет экзамен по ....,Здравствуйте. У меня расписание. Когда будет экзамен по ....,Расписание,neutral,medium,True,здравствовать у я расписание когда быть экзамен по ....
24,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Поступление,negative,medium,False,здравствовать у я поступление проблема это очень срочно и неудобный
25,Здравствуйте. У меня документы и справки. Нужна справка 2-НДФЛ.,Здравствуйте. У меня документы и справки. Нужна справка 2-НДФЛ.,Документы и справки,neutral,medium,False,здравствовать у я документ и справка нужный справка 2-ндфл
26,Здравствуйте. У меня расписание. Когда будет экзамен по ....,Здравствуйте. У меня расписание. Когда будет экзамен по ....,Расписание,neutral,high,False,здравствовать у я расписание когда быть экзамен по ....
27,Здравствуйте. У меня расписание. Когда будет экзамен по ....,Здравствуйте. У меня расписание. Когда будет экзамен по ....,Расписание,neutral,high,False,здравствовать у я расписание когда быть экзамен по ....
28,Здравствуйте. У меня общежитие. Проблема.,Здравствуйте. У меня общежитие. Проблема.,Общежитие,positive,medium,False,здравствовать у я общежитие проблема
29,Здравствуйте. У меня технические проблемы. Проблема.,Здравствуйте. У меня технические проблемы. Проблема.,Технические проблемы,positive,high,False,здравствовать у я технический проблема проблема
30,Здравствуйте. У меня документы и справки. Нужна справка 2-НДФЛ. Это очень срочно и неудобно!,Здравствуйте. У меня документы и справки. Нужна справка 2-НДФЛ. Это очень срочно и неудобно!,Документы и справки,negative,low,False,здравствовать у я документ и справка нужный справка 2-ндфл это очень срочно и неудобный
31,Здравствуйте. У меня поступление. Проблема.,Здравствуйте. У меня поступление. Проблема.,Поступление,positive,medium,False,здравствовать у я поступление проблема
32,Здравствуйте. У меня преподаватели. Проблема.,Здравствуйте. У меня преподаватели. Проблема.,Преподаватели,positive,low,True,здравствовать у я преподаватель проблема
33,Здравствуйте. У меня поступление. Проблема.,Здравствуйте. У меня поступление. Проблема.,Поступление,positive,medium,True,здравствовать у я поступление проблема
34,"Здравствуйте. У меня расписание. Расписание сдвинулось, занятия отменили. Это очень срочно и неудобно!","Здравствуйте. У меня расписание. Расписание сдвинулось, занятия отменили. Это очень срочно и неудобно!",Расписание,negative,high,True,здравствовать у я расписание расписание сдвинуться занятие отменить это очень срочно и неудобный
35,Здравствуйте. У меня расписание. Когда будет экзамен по ....,Здравствуйте. У меня расписание. Когда будет экзамен по ....,Расписание,neutral,low,True,здравствовать у я расписание когда быть экзамен по ....
36,Здравствуйте. У меня расписание. Когда будет экзамен по .... Это очень срочно и неудобно!,Здравствуйте. У меня расписание. Когда будет экзамен по .... Это очень срочно и неудобно!,Расписание,negative,medium,False,здравствовать у я расписание когда быть экзамен по .... это очень срочно и неудобный
37,Здравствуйте. У меня документы и справки. Нужна справка 2-НДФЛ. Это очень срочно и неудобно!,Здравствуйте. У меня документы и справки. Нужна справка 2-НДФЛ. Это очень срочно и неудобно!,Документы и справки,negative,medium,False,здравствовать у я документ и справка нужный справка 2-ндфл это очень срочно и неудобный
38,Здравствуйте. У меня поступление. Проблема.,Здравствуйте. У меня поступление. Проблема.,Поступление,positive,low,False,здравствовать у я поступление проблема
